observation_date,BAMLH0A0HYM2_20240615
2023-08-28,3.86
2023-08-29,3.87
2023-08-30,3.80
2023-08-31,3.85
2023-09-01,3.81
2023-09-04,3.81
2023-09-05,3.83
2023-09-06,3.86
2023-09-07,3.90
2023-09-08,3.85
2023-09-11,3.82
2023-09-12,3.84
2023-09-13,3.85
2023-09-14,3.78
2023-09-15,3.79
2023-09-18,3.82
2023-09-19,3.82
2023-09-20,3.77
2023-09-21,3.89
2023-09-22,3.93
2023-09-25,3.97
2023-09-26,4.04
2023-09-27,4.03
2023-09-28,4.09
2023-09-29,4.03
2023-09-30,4.03
2023-10-02,4.11
2023-10-03,4.26
2023-10-04,4.37
2023-10-05,4.38
2023-10-06,4.33
2023-10-09,4.34
2023-10-10,4.26
2023-10-11,4.25
2023-10-12,4.25
2023-10-13,4.30
2023-10-16,4.27
2023-10-17,4.25
2023-10-18,4.32
2023-10-19,4.37
2023-10-20,4.52
2023-10-23,4.51
2023-10-24,4.41
2023-10-25,4.37
2023-10-26,4.50
2023-10-27,4.53
2023-10-30,4.50
2023-10-31,4.42
2023-11-01,4.47
2023-11-02,4.15
2023-11-03,4.04
2023-11-06,4.00
2023-11-07,4.08
2023-11-08,4.08
2023-11-09,4.04
2023-11-10,4.03
2023-11-13,4.03
2023-11-14,3.92
2023-11-15,3.89
2023-11-16,4.02
2023-11-17,3.99
2023-11-20,3.92
2023-11-21,3.95
2023-11-22,3.90
2023-11-23,3.90
2023-11-24,3.85
2023-11-27,3.89
2023-11-28,3.90
2023-11-29,3.80
2023-11-30,3.84
2023-12-01,3.87
2023-12-04,3.80
2023-12-05,3.80
2023-12-06,3.79
2023-12-07,3.77
2023-12-08,3.75
2023-12-11,3.79
2023-12-12,3.76
2023-12-13,3.79
2023-12-14,3.47
2023-12-15,3.51
2023-12-18,3.51
2023-12-19,3.46
2023-12-20,3.43
2023-12-21,3.41
2023-12-22,3.39
2023-12-25,
2023-12-26,3.37
2023-12-27,3.34
2023-12-28,3.32
2023-12-29,3.34
2023-12-31,3.39
2024-01-01,
2024-01-02,3.54
2024-01-03,3.71
2024-01-04,3.69
2024-01-05,3.68
2024-01-08,3.63
2024-01-09,3.59
2024-01-10,3.50
2024-01-11,3.55
2024-01-12,3.56
2024-01-15,3.54
2024-01-16,3.58
2024-01-17,3.62
2024-01-18,3.58
2024-01-19,3.54
2024-01-22,3.49
2024-01-23,3.51
2024-01-24,3.44
2024-01-25,3.45
2024-01-26,3.39
2024-01-29,3.41
2024-01-30,3.42
2024-01-31,3.59
2024-02-01,3.56
2024-02-02,3.47
2024-02-05,3.50
2024-02-06,3.52
2024-02-07,3.43
2024-02-08,3.38
2024-02-09,3.33
2024-02-12,3.35
2024-02-13,3.36
2024-02-14,3.38
2024-02-15,3.35
2024-02-16,3.34
2024-02-19,3.34
2024-02-20,3.37
2024-02-21,3.34
2024-02-22,3.22
2024-02-23,3.23
2024-02-26,3.23
2024-02-27,3.26
2024-02-28,3.31
2024-02-29,3.29
2024-03-01,3.32
2024-03-04,3.26
2024-03-05,3.31
2024-03-06,3.27
2024-03-07,3.27
2024-03-08,3.26
2024-03-11,3.26
2024-03-12,3.20
2024-03-13,3.15
2024-03-14,3.15
2024-03-15,3.16
2024-03-18,3.13
2024-03-19,3.10
2024-03-20,3.14
2024-03-21,3.05
2024-03-22,3.08
2024-03-25,3.11
2024-03-26,3.15
2024-03-27,3.15
2024-03-28,3.12
2024-03-29,
2024-03-31,3.15
2024-04-01,3.12
2024-04-02,3.23
2024-04-03,3.23
2024-04-04,3.24
2024-04-05,3.18
2024-04-08,3.15
2024-04-09,3.14
2024-04-10,3.10
2024-04-11,3.16
2024-04-12,3.25
2024-04-15,3.28
2024-04-16,3.36
2024-04-17,3.42
2024-04-18,3.39
2024-04-19,3.37
2024-04-22,3.29
2024-04-23,3.20
2024-04-24,3.19
2024-04-25,3.24
2024-04-26,3.16
2024-04-29,3.12
2024-04-30,3.18
2024-05-01,3.21
2024-05-02,3.16
2024-05-03,3.08
2024-05-06,3.03
2024-05-07,3.06
2024-05-08,3.10
2024-05-09,3.14
2024-05-10,3.12
2024-05-13,3.14
2024-05-14,3.14
2024-05-15,3.13
2024-05-16,3.08
2024-05-17,3.09
2024-05-20,3.07
2024-05-21,3.07
2024-05-22,3.11
2024-05-23,3.10
2024-05-24,3.11
2024-05-27,3.12
2024-05-28,3.09
2024-05-29,3.15
2024-05-30,3.19
2024-05-31,3.20
2024-06-03,3.17
2024-06-04,3.22
2024-06-05,3.20
2024-06-06,3.20
2024-06-07,3.15
2024-06-10,3.15
2024-06-11,3.19
2024-06-12,3.09
2024-06-13,3.20
2024-06-14,3.29
