observation_date,CORCACBN_20120215
1985-01-01,0.85
1985-04-01,1.02
1985-07-01,1.16
1985-10-01,1.54
1986-01-01,1.37
1986-04-01,1.46
1986-07-01,1.50
1986-10-01,1.77
1987-01-01,1.49
1987-04-01,1.50
1987-07-01,1.42
1987-10-01,1.74
1988-01-01,1.46
1988-04-01,1.48
1988-07-01,1.50
1988-10-01,1.68
1989-01-01,1.57
1989-04-01,1.55
1989-07-01,1.48
1989-10-01,1.84
1990-01-01,1.65
1990-04-01,1.71
1990-07-01,1.73
1990-10-01,2.17
1991-01-01,2.20
1991-04-01,2.30
1991-07-01,2.30
1991-10-01,2.48
1992-01-01,2.37
1992-04-01,2.26
1992-07-01,2.04
1992-10-01,2.26
1993-01-01,1.83
1993-04-01,1.75
1993-07-01,1.66
1993-10-01,1.68
1994-01-01,1.48
1994-04-01,1.40
1994-07-01,1.37
1994-10-01,1.56
1995-01-01,1.43
1995-04-01,1.62
1995-07-01,1.79
1995-10-01,2.13
1996-01-01,2.14
1996-04-01,2.22
1996-07-01,2.31
1996-10-01,2.57
1997-01-01,2.56
1997-04-01,2.70
1997-07-01,2.71
1997-10-01,2.83
1998-01-01,2.64
1998-04-01,2.59
1998-07-01,2.55
1998-10-01,2.73
1999-01-01,2.47
1999-04-01,2.06
1999-07-01,2.20
1999-10-01,2.37
2000-01-01,2.27
2000-04-01,2.05
2000-07-01,2.16
2000-10-01,2.95
2001-01-01,2.40
2001-04-01,2.50
2001-07-01,2.67
2001-10-01,3.33
2002-01-01,3.67
2002-04-01,2.98
2002-07-01,2.97
2002-10-01,3.01
2003-01-01,2.87
2003-04-01,2.91
2003-07-01,2.69
2003-10-01,3.05
2004-01-01,2.74
2004-04-01,2.66
2004-07-01,2.50
2004-10-01,2.82
2005-01-01,2.50
2005-04-01,2.32
2005-07-01,2.95
2005-10-01,3.20
2006-01-01,1.76
2006-04-01,1.87
2006-07-01,2.16
2006-10-01,2.41
2007-01-01,2.36
2007-04-01,2.29
2007-07-01,2.48
2007-10-01,2.85
2008-01-01,2.98
2008-04-01,3.27
2008-07-01,3.56
2008-10-01,4.30
2009-01-01,4.83
2009-04-01,5.67
2009-07-01,5.74
2009-10-01,5.73
2010-01-01,6.62
2010-04-01,6.70
2010-07-01,5.28
2010-10-01,4.90
2011-01-01,4.46
2011-04-01,3.51
2011-07-01,3.52
