observation_date,DGORDER_20081115
1992-02-01,114776
1992-03-01,118968
1992-04-01,125518
1992-05-01,125418
1992-06-01,122958
1992-07-01,122369
1992-08-01,120043
1992-09-01,120642
1992-10-01,127851
1992-11-01,122856
1992-12-01,126155
1993-01-01,121239
1993-02-01,129153
1993-03-01,126336
1993-04-01,127853
1993-05-01,126809
1993-06-01,129627
1993-07-01,128043
1993-08-01,129328
1993-09-01,127409
1993-10-01,132938
1993-11-01,131594
1993-12-01,133411
1994-01-01,138568
1994-02-01,137523
1994-03-01,137194
1994-04-01,139218
1994-05-01,142729
1994-06-01,144903
1994-07-01,144501
1994-08-01,146182
1994-09-01,145530
1994-10-01,149700
1994-11-01,150730
1994-12-01,152253
1995-01-01,150964
1995-02-01,154642
1995-03-01,151526
1995-04-01,151591
1995-05-01,152911
1995-06-01,149913
1995-07-01,149043
1995-08-01,154713
1995-09-01,160159
1995-10-01,155259
1995-11-01,157161
1995-12-01,162183
1996-01-01,156624
1996-02-01,151896
1996-03-01,164038
1996-04-01,156913
1996-05-01,164078
1996-06-01,164152
1996-07-01,163812
1996-08-01,157374
1996-09-01,165980
1996-10-01,165494
1996-11-01,170572
1996-12-01,162046
1997-01-01,162370
1997-02-01,171222
1997-03-01,169359
1997-04-01,170932
1997-05-01,168052
1997-06-01,174845
1997-07-01,179616
1997-08-01,176018
1997-09-01,178848
1997-10-01,178849
1997-11-01,190307
1997-12-01,173941
1998-01-01,174626
1998-02-01,181934
1998-03-01,176339
1998-04-01,181399
1998-05-01,178898
1998-06-01,173668
1998-07-01,170276
1998-08-01,179075
1998-09-01,181372
1998-10-01,179005
1998-11-01,181397
1998-12-01,179551
1999-01-01,185722
1999-02-01,186133
1999-03-01,185723
1999-04-01,181711
1999-05-01,186118
1999-06-01,183241
1999-07-01,188949
1999-08-01,189990
1999-09-01,189348
1999-10-01,193240
1999-11-01,186771
1999-12-01,196448
2000-01-01,201547
2000-02-01,184403
2000-03-01,190938
2000-04-01,195149
2000-05-01,189494
2000-06-01,220416
2000-07-01,189644
2000-08-01,189483
2000-09-01,198700
2000-10-01,185847
2000-11-01,189465
2000-12-01,187552
2001-01-01,178257
2001-02-01,180462
2001-03-01,182072
2001-04-01,172410
2001-05-01,179854
2001-06-01,176199
2001-07-01,170706
2001-08-01,171084
2001-09-01,163249
2001-10-01,172110
2001-11-01,163979
2001-12-01,166190
2002-01-01,160246
2002-02-01,169784
2002-03-01,168031
2002-04-01,167546
2002-05-01,171362
2002-06-01,163613
2002-07-01,173096
2002-08-01,175306
2002-09-01,165542
2002-10-01,167496
2002-11-01,168401
2002-12-01,161924
2003-01-01,167216
2003-02-01,173082
2003-03-01,171551
2003-04-01,170300
2003-05-01,170715
2003-06-01,172496
2003-07-01,173668
2003-08-01,171555
2003-09-01,177317
2003-10-01,182956
2003-11-01,181044
2003-12-01,179903
2004-01-01,171979
2004-02-01,177185
2004-03-01,189140
2004-04-01,182206
2004-05-01,180856
2004-06-01,182915
2004-07-01,185009
2004-08-01,182397
2004-09-01,186275
2004-10-01,183352
2004-11-01,191263
2004-12-01,189393
2005-01-01,190007
2005-02-01,194011
2005-03-01,189372
2005-04-01,191601
2005-05-01,204305
2005-06-01,208316
2005-07-01,196299
2005-08-01,202810
2005-09-01,203641
2005-10-01,209777
2005-11-01,219286
2005-12-01,217368
2006-01-01,201313
2006-02-01,213446
2006-03-01,221469
2006-04-01,212874
2006-05-01,212794
2006-06-01,219111
2006-07-01,211718
2006-08-01,208706
2006-09-01,230267
2006-10-01,211191
2006-11-01,216994
2006-12-01,218408
2007-01-01,207711
2007-02-01,212558
2007-03-01,217341
2007-04-01,221916
2007-05-01,216875
2007-06-01,217831
2007-07-01,229500
2007-08-01,218879
2007-09-01,215627
2007-10-01,215871
2007-11-01,215203
2007-12-01,224128
2008-01-01,213689
2008-02-01,216101
2008-03-01,215616
2008-04-01,213475
2008-05-01,213671
2008-06-01,216650
2008-07-01,218163
2008-08-01,206084
2008-09-01,207911
