observation_date,DRALACBN_20170215
1985-01-01,4.80
1985-04-01,4.81
1985-07-01,4.86
1985-10-01,4.73
1986-01-01,5.06
1986-04-01,4.63
1986-07-01,4.71
1986-10-01,4.62
1987-01-01,5.77
1987-04-01,5.25
1987-07-01,5.19
1987-10-01,5.21
1988-01-01,5.29
1988-04-01,4.85
1988-07-01,4.96
1988-10-01,4.61
1989-01-01,5.09
1989-04-01,4.81
1989-07-01,4.96
1989-10-01,4.89
1990-01-01,5.19
1990-04-01,4.92
1990-07-01,5.28
1990-10-01,5.95
1991-01-01,6.33
1991-04-01,6.00
1991-07-01,5.89
1991-10-01,5.78
1992-01-01,5.72
1992-04-01,5.26
1992-07-01,5.13
1992-10-01,4.81
1993-01-01,4.65
1993-04-01,4.08
1993-07-01,3.80
1993-10-01,3.35
1994-01-01,3.25
1994-04-01,2.77
1994-07-01,2.61
1994-10-01,2.49
1995-01-01,2.60
1995-04-01,2.42
1995-07-01,2.45
1995-10-01,2.46
1996-01-01,2.48
1996-04-01,2.37
1996-07-01,2.37
1996-10-01,2.40
1997-01-01,2.41
1997-04-01,2.22
1997-07-01,2.19
1997-10-01,2.28
1998-01-01,2.28
1998-04-01,2.11
1998-07-01,2.14
1998-10-01,2.23
1999-01-01,2.20
1999-04-01,2.08
1999-07-01,2.17
1999-10-01,2.09
2000-01-01,2.09
2000-04-01,2.06
2000-07-01,2.18
2000-10-01,2.39
2001-01-01,2.44
2001-04-01,2.48
2001-07-01,2.71
2001-10-01,2.82
2002-01-01,2.76
2002-04-01,2.67
2002-07-01,2.68
2002-10-01,2.65
2003-01-01,2.54
2003-04-01,2.34
2003-07-01,2.22
2003-10-01,2.21
2004-01-01,1.96
2004-04-01,1.79
2004-07-01,1.74
2004-10-01,1.69
2005-01-01,1.61
2005-04-01,1.51
2005-07-01,1.55
2005-10-01,1.60
2006-01-01,1.52
2006-04-01,1.45
2006-07-01,1.57
2006-10-01,1.75
2007-01-01,1.75
2007-04-01,1.79
2007-07-01,2.12
2007-10-01,2.56
2008-01-01,2.90
2008-04-01,3.19
2008-07-01,3.69
2008-10-01,4.90
2009-01-01,5.72
2009-04-01,6.15
2009-07-01,6.88
2009-10-01,7.49
2010-01-01,7.50
2010-04-01,6.99
2010-07-01,6.85
2010-10-01,6.51
2011-01-01,6.27
2011-04-01,5.82
2011-07-01,5.67
2011-10-01,5.55
2012-01-01,5.33
2012-04-01,5.02
2012-07-01,5.02
2012-10-01,4.72
2013-01-01,4.45
2013-04-01,4.06
2013-07-01,3.76
2013-10-01,3.58
2014-01-01,3.33
2014-04-01,3.03
2014-07-01,2.88
2014-10-01,2.75
2015-01-01,2.51
2015-04-01,2.34
2015-07-01,2.27
2015-10-01,2.24
2016-01-01,2.19
2016-04-01,2.09
2016-07-01,2.05
