observation_date,DRCCLACBN_20130215
1991-01-01,5.29
1991-04-01,5.32
1991-07-01,5.41
1991-10-01,5.30
1992-01-01,5.31
1992-04-01,4.96
1992-07-01,5.04
1992-10-01,4.70
1993-01-01,4.63
1993-04-01,4.33
1993-07-01,4.14
1993-10-01,3.91
1994-01-01,3.62
1994-04-01,3.18
1994-07-01,3.29
1994-10-01,3.30
1995-01-01,3.48
1995-04-01,3.57
1995-07-01,3.90
1995-10-01,3.99
1996-01-01,4.04
1996-04-01,4.12
1996-07-01,4.53
1996-10-01,4.68
1997-01-01,4.67
1997-04-01,4.55
1997-07-01,4.77
1997-10-01,4.90
1998-01-01,4.72
1998-04-01,4.56
1998-07-01,4.80
1998-10-01,4.82
1999-01-01,4.61
1999-04-01,4.29
1999-07-01,4.64
1999-10-01,4.63
2000-01-01,4.35
2000-04-01,4.32
2000-07-01,4.62
2000-10-01,4.70
2001-01-01,4.75
2001-04-01,4.75
2001-07-01,5.09
2001-10-01,4.86
2002-01-01,4.85
2002-04-01,4.61
2002-07-01,4.96
2002-10-01,5.05
2003-01-01,4.57
2003-04-01,4.38
2003-07-01,4.29
2003-10-01,4.62
2004-01-01,4.10
2004-04-01,4.02
2004-07-01,4.12
2004-10-01,4.20
2005-01-01,3.62
2005-04-01,3.56
2005-07-01,3.95
2005-10-01,3.65
2006-01-01,3.80
2006-04-01,4.01
2006-07-01,4.17
2006-10-01,4.05
2007-01-01,3.96
2007-04-01,3.90
2007-07-01,4.45
2007-10-01,4.68
2008-01-01,4.80
2008-04-01,4.74
2008-07-01,4.83
2008-10-01,5.72
2009-01-01,6.61
2009-04-01,6.53
2009-07-01,6.51
2009-10-01,6.43
2010-01-01,5.88
2010-04-01,4.90
2010-07-01,4.59
2010-10-01,4.22
2011-01-01,3.89
2011-04-01,3.50
2011-07-01,3.47
2011-10-01,3.32
2012-01-01,3.11
2012-04-01,2.79
2012-07-01,2.83
