observation_date,DRCCLACBS_20131215
1991-01-01,5.24
1991-04-01,5.45
1991-07-01,5.34
1991-10-01,5.30
1992-01-01,5.26
1992-04-01,5.08
1992-07-01,4.97
1992-10-01,4.69
1993-01-01,4.59
1993-04-01,4.45
1993-07-01,4.07
1993-10-01,3.90
1994-01-01,3.59
1994-04-01,3.27
1994-07-01,3.24
1994-10-01,3.27
1995-01-01,3.46
1995-04-01,3.69
1995-07-01,3.84
1995-10-01,3.93
1996-01-01,4.03
1996-04-01,4.26
1996-07-01,4.46
1996-10-01,4.59
1997-01-01,4.68
1997-04-01,4.72
1997-07-01,4.68
1997-10-01,4.78
1998-01-01,4.74
1998-04-01,4.74
1998-07-01,4.70
1998-10-01,4.70
1999-01-01,4.64
1999-04-01,4.47
1999-07-01,4.54
1999-10-01,4.50
2000-01-01,4.39
2000-04-01,4.51
2000-07-01,4.53
2000-10-01,4.56
2001-01-01,4.80
2001-04-01,4.95
2001-07-01,5.00
2001-10-01,4.69
2002-01-01,4.94
2002-04-01,4.79
2002-07-01,4.89
2002-10-01,4.85
2003-01-01,4.68
2003-04-01,4.53
2003-07-01,4.23
2003-10-01,4.43
2004-01-01,4.21
2004-04-01,4.15
2004-07-01,4.07
2004-10-01,4.03
2005-01-01,3.71
2005-04-01,3.67
2005-07-01,3.89
2005-10-01,3.53
2006-01-01,3.88
2006-04-01,4.14
2006-07-01,4.11
2006-10-01,3.94
2007-01-01,4.01
2007-04-01,4.02
2007-07-01,4.38
2007-10-01,4.58
2008-01-01,4.81
2008-04-01,4.90
2008-07-01,4.77
2008-10-01,5.61
2009-01-01,6.58
2009-04-01,6.78
2009-07-01,6.46
2009-10-01,6.30
2010-01-01,5.83
2010-04-01,5.10
2010-07-01,4.56
2010-10-01,4.13
2011-01-01,3.85
2011-04-01,3.65
2011-07-01,3.45
2011-10-01,3.25
2012-01-01,3.07
2012-04-01,2.91
2012-07-01,2.82
2012-10-01,2.71
2013-01-01,2.64
2013-04-01,2.52
2013-07-01,2.45
