observation_date,DRCLACBS_20150515
1987-01-01,3.47
1987-04-01,3.41
1987-07-01,3.41
1987-10-01,3.41
1988-01-01,3.38
1988-04-01,3.36
1988-07-01,3.33
1988-10-01,3.38
1989-01-01,3.51
1989-04-01,3.60
1989-07-01,3.65
1989-10-01,3.65
1990-01-01,3.66
1990-04-01,3.68
1990-07-01,3.87
1990-10-01,4.07
1991-01-01,4.11
1991-04-01,4.19
1991-07-01,4.14
1991-10-01,4.08
1992-01-01,3.95
1992-04-01,3.82
1992-07-01,3.69
1992-10-01,3.54
1993-01-01,3.47
1993-04-01,3.37
1993-07-01,3.19
1993-10-01,2.97
1994-01-01,2.86
1994-04-01,2.75
1994-07-01,2.70
1994-10-01,2.73
1995-01-01,2.86
1995-04-01,2.99
1995-07-01,3.18
1995-10-01,3.29
1996-01-01,3.33
1996-04-01,3.48
1996-07-01,3.61
1996-10-01,3.68
1997-01-01,3.74
1997-04-01,3.75
1997-07-01,3.69
1997-10-01,3.74
1998-01-01,3.74
1998-04-01,3.76
1998-07-01,3.74
1998-10-01,3.71
1999-01-01,3.78
1999-04-01,3.62
1999-07-01,3.55
1999-10-01,3.50
2000-01-01,3.47
2000-04-01,3.53
2000-07-01,3.56
2000-10-01,3.63
2001-01-01,3.63
2001-04-01,3.68
2001-07-01,3.72
2001-10-01,3.65
2002-01-01,3.60
2002-04-01,3.51
2002-07-01,3.49
2002-10-01,3.45
2003-01-01,3.42
2003-04-01,3.31
2003-07-01,3.10
2003-10-01,3.28
2004-01-01,3.13
2004-04-01,3.10
2004-07-01,3.05
2004-10-01,3.03
2005-01-01,2.92
2005-04-01,2.86
2005-07-01,2.80
2005-10-01,2.69
2006-01-01,2.78
2006-04-01,2.92
2006-07-01,2.97
2006-10-01,2.94
2007-01-01,2.93
2007-04-01,3.00
2007-07-01,3.20
2007-10-01,3.40
2008-01-01,3.50
2008-04-01,3.56
2008-07-01,3.71
2008-10-01,4.26
2009-01-01,4.69
2009-04-01,4.85
2009-07-01,4.70
2009-10-01,4.56
2010-01-01,4.75
2010-04-01,4.25
2010-07-01,4.00
2010-10-01,3.61
2011-01-01,3.46
2011-04-01,3.27
2011-07-01,3.13
2011-10-01,3.06
2012-01-01,2.94
2012-04-01,2.84
2012-07-01,2.78
2012-10-01,2.64
2013-01-01,2.56
2013-04-01,2.47
2013-07-01,2.40
2013-10-01,2.39
2014-01-01,2.31
2014-04-01,2.26
2014-07-01,2.20
2014-10-01,2.11
