observation_date,DRTSCLCC_20110215
1996-01-01,25.0
1996-04-01,23.5
1996-07-01,48.9
1996-10-01,48.8
1997-01-01,36.9
1997-04-01,45.9
1997-07-01,23.3
1997-10-01,25.0
1998-01-01,22.2
1998-04-01,16.3
1998-07-01,20.0
1998-10-01,15.9
1999-01-01,7.4
1999-04-01,13.3
1999-07-01,4.8
1999-10-01,4.9
2000-01-01,4.8
2000-04-01,2.5
2000-07-01,-2.6
2000-10-01,8.3
2001-01-01,11.8
2001-04-01,20.0
2001-07-01,11.4
2001-10-01,20.0
2002-01-01,18.2
2002-04-01,8.6
2002-07-01,14.7
2002-10-01,15.2
2003-01-01,16.2
2003-04-01,9.7
2003-07-01,0.0
2003-10-01,2.9
2004-01-01,6.3
2004-04-01,3.3
2004-07-01,0.0
2004-10-01,-2.9
2005-01-01,-3.0
2005-04-01,-8.3
2005-07-01,-6.5
2005-10-01,-3.0
2006-01-01,3.2
2006-04-01,-2.6
2006-07-01,-3.0
2006-10-01,-3.0
2007-01-01,0.0
2007-04-01,-11.1
2007-07-01,-3.2
2007-10-01,3.2
2008-01-01,9.7
2008-04-01,32.4
2008-07-01,66.6
2008-10-01,58.8
2009-01-01,58.8
2009-04-01,58.1
2009-07-01,35.3
2009-10-01,15.8
2010-01-01,2.8
2010-04-01,9.1
2010-07-01,-7.9
2010-10-01,-10.0
2011-01-01,-10.0
