observation_date,GDPC1_19960815
1959-07-01,2225.6
1959-10-01,2225.8
1960-01-01,2283.3
1960-04-01,2268.5
1960-07-01,2265.8
1960-10-01,2229.1
1961-01-01,2245.6
1961-04-01,2286.1
1961-07-01,2328.2
1961-10-01,2379.4
1962-01-01,2420.4
1962-04-01,2440.0
1962-07-01,2465.2
1962-10-01,2470.7
1963-01-01,2502.3
1963-04-01,2532.9
1963-07-01,2581.4
1963-10-01,2599.7
1964-01-01,2661.8
1964-04-01,2692.5
1964-07-01,2723.9
1964-10-01,2733.6
1965-01-01,2800.8
1965-04-01,2844.2
1965-07-01,2889.2
1965-10-01,2965.2
1966-01-01,3034.4
1966-04-01,3046.2
1966-07-01,3067.6
1966-10-01,3092.6
1967-01-01,3119.7
1967-04-01,3122.3
1967-07-01,3147.3
1967-10-01,3171.6
1968-01-01,3230.2
1968-04-01,3286.6
1968-07-01,3311.1
1968-10-01,3326.3
1969-01-01,3376.9
1969-04-01,3385.2
1969-07-01,3404.3
1969-10-01,3385.6
1970-01-01,3378.1
1970-04-01,3382.1
1970-07-01,3412.9
1970-10-01,3379.6
1971-01-01,3471.5
1971-04-01,3491.3
1971-07-01,3514.0
1971-10-01,3523.6
1972-01-01,3593.9
1972-04-01,3676.3
1972-07-01,3713.8
1972-10-01,3777.2
1973-01-01,3876.9
1973-04-01,3903.3
1973-07-01,3892.8
1973-10-01,3936.2
1974-01-01,3903.0
1974-04-01,3920.4
1974-07-01,3878.4
1974-10-01,3850.9
1975-01-01,3793.6
1975-04-01,3825.6
1975-07-01,3897.0
1975-10-01,3944.2
1976-01-01,4039.1
1976-04-01,4068.9
1976-07-01,4087.7
1976-10-01,4128.4
1977-01-01,4181.8
1977-04-01,4268.0
1977-07-01,4336.3
1977-10-01,4331.0
1978-01-01,4340.8
1978-04-01,4501.3
1978-07-01,4540.5
1978-10-01,4592.3
1979-01-01,4597.7
1979-04-01,4608.6
1979-07-01,4638.8
1979-10-01,4651.0
1980-01-01,4674.3
1980-04-01,4562.6
1980-07-01,4559.6
1980-10-01,4651.1
1981-01-01,4741.3
1981-04-01,4701.3
1981-07-01,4758.4
1981-10-01,4698.6
1982-01-01,4618.9
1982-04-01,4637.4
1982-07-01,4615.3
1982-10-01,4622.8
1983-01-01,4669.8
1983-04-01,4771.3
1983-07-01,4855.5
1983-10-01,4943.6
1984-01-01,5053.4
1984-04-01,5129.8
1984-07-01,5167.0
1984-10-01,5202.7
1985-01-01,5261.3
1985-04-01,5290.8
1985-07-01,5367.0
1985-10-01,5398.9
1986-01-01,5465.4
1986-04-01,5469.6
1986-07-01,5497.6
1986-10-01,5527.0
1987-01-01,5561.4
1987-04-01,5616.8
1987-07-01,5666.0
1987-10-01,5749.4
1988-01-01,5782.9
1988-04-01,5841.7
1988-07-01,5876.5
1988-10-01,5950.7
1989-01-01,6008.7
1989-04-01,6053.4
1989-07-01,6086.2
1989-10-01,6093.0
1990-01-01,6154.1
1990-04-01,6174.4
1990-07-01,6145.2
1990-10-01,6081.0
1991-01-01,6047.9
1991-04-01,6074.1
1991-07-01,6089.3
1991-10-01,6104.4
1992-01-01,6175.3
1992-04-01,6214.2
1992-07-01,6260.9
1992-10-01,6327.3
1993-01-01,6326.4
1993-04-01,6356.5
1993-07-01,6393.4
1993-10-01,6469.1
1994-01-01,6508.5
1994-04-01,6587.6
1994-07-01,6644.9
1994-10-01,6693.9
1995-01-01,6701.0
1995-04-01,6713.5
1995-07-01,6776.4
1995-10-01,6780.7
1996-01-01,6814.3
1996-04-01,6885.1
