observation_date,LNS13023705_20150515
1967-01-01,404
1967-02-01,410
1967-03-01,411
1967-04-01,407
1967-05-01,441
1967-06-01,430
1967-07-01,421
1967-08-01,427
1967-09-01,466
1967-10-01,515
1967-11-01,461
1967-12-01,466
1968-01-01,432
1968-02-01,465
1968-03-01,470
1968-04-01,417
1968-05-01,437
1968-06-01,412
1968-07-01,441
1968-08-01,436
1968-09-01,412
1968-10-01,418
1968-11-01,427
1968-12-01,406
1969-01-01,441
1969-02-01,407
1969-03-01,420
1969-04-01,430
1969-05-01,376
1969-06-01,449
1969-07-01,433
1969-08-01,449
1969-09-01,489
1969-10-01,439
1969-11-01,432
1969-12-01,448
1970-01-01,462
1970-02-01,468
1970-03-01,469
1970-04-01,548
1970-05-01,522
1970-06-01,571
1970-07-01,606
1970-08-01,571
1970-09-01,566
1970-10-01,615
1970-11-01,600
1970-12-01,587
1971-01-01,642
1971-02-01,636
1971-03-01,577
1971-04-01,601
1971-05-01,607
1971-06-01,494
1971-07-01,530
1971-08-01,584
1971-09-01,608
1971-10-01,561
1971-11-01,621
1971-12-01,628
1972-01-01,581
1972-02-01,603
1972-03-01,649
1972-04-01,610
1972-05-01,654
1972-06-01,625
1972-07-01,649
1972-08-01,670
1972-09-01,668
1972-10-01,689
1972-11-01,636
1972-12-01,644
1973-01-01,582
1973-02-01,672
1973-03-01,696
1973-04-01,674
1973-05-01,638
1973-06-01,690
1973-07-01,679
1973-08-01,656
1973-09-01,687
1973-10-01,666
1973-11-01,795
1973-12-01,761
1974-01-01,752
1974-02-01,770
1974-03-01,728
1974-04-01,750
1974-05-01,699
1974-06-01,766
1974-07-01,769
1974-08-01,786
1974-09-01,761
1974-10-01,837
1974-11-01,781
1974-12-01,796
1975-01-01,778
1975-02-01,769
1975-03-01,811
1975-04-01,840
1975-05-01,869
1975-06-01,799
1975-07-01,822
1975-08-01,788
1975-09-01,838
1975-10-01,830
1975-11-01,896
1975-12-01,891
1976-01-01,859
1976-02-01,886
1976-03-01,786
1976-04-01,875
1976-05-01,871
1976-06-01,897
1976-07-01,972
1976-08-01,995
1976-09-01,949
1976-10-01,957
1976-11-01,890
1976-12-01,871
1977-01-01,949
1977-02-01,902
1977-03-01,939
1977-04-01,892
1977-05-01,902
1977-06-01,954
1977-07-01,857
1977-08-01,901
1977-09-01,894
1977-10-01,914
1977-11-01,913
1977-12-01,910
1978-01-01,877
1978-02-01,930
1978-03-01,892
1978-04-01,893
1978-05-01,793
1978-06-01,863
1978-07-01,888
1978-08-01,849
1978-09-01,886
1978-10-01,844
1978-11-01,848
1978-12-01,943
1979-01-01,943
1979-02-01,863
1979-03-01,910
1979-04-01,860
1979-05-01,891
1979-06-01,879
1979-07-01,876
1979-08-01,904
1979-09-01,867
1979-10-01,860
1979-11-01,871
1979-12-01,840
1980-01-01,818
1980-02-01,849
1980-03-01,841
1980-04-01,937
1980-05-01,929
1980-06-01,931
1980-07-01,898
1980-08-01,940
1980-09-01,896
1980-10-01,888
1980-11-01,929
1980-12-01,832
1981-01-01,919
1981-02-01,892
1981-03-01,908
1981-04-01,877
1981-05-01,1003
1981-06-01,919
1981-07-01,938
1981-08-01,898
1981-09-01,937
1981-10-01,970
1981-11-01,912
1981-12-01,896
1982-01-01,827
1982-02-01,935
1982-03-01,893
1982-04-01,908
1982-05-01,874
1982-06-01,843
1982-07-01,817
1982-08-01,836
1982-09-01,784
1982-10-01,792
1982-11-01,780
1982-12-01,815
1983-01-01,820
1983-02-01,838
1983-03-01,914
1983-04-01,827
1983-05-01,815
1983-06-01,803
1983-07-01,730
1983-08-01,800
1983-09-01,858
1983-10-01,871
1983-11-01,850
1983-12-01,843
1984-01-01,795
1984-02-01,780
1984-03-01,782
1984-04-01,796
1984-05-01,818
1984-06-01,804
1984-07-01,831
1984-08-01,845
1984-09-01,850
1984-10-01,828
1984-11-01,878
1984-12-01,870
1985-01-01,854
1985-02-01,851
1985-03-01,852
1985-04-01,845
1985-05-01,886
1985-06-01,994
1985-07-01,886
1985-08-01,883
1985-09-01,851
1985-10-01,930
1985-11-01,815
1985-12-01,895
1986-01-01,957
1986-02-01,974
1986-03-01,987
1986-04-01,1106
1986-05-01,1009
1986-06-01,1025
1986-07-01,1025
1986-08-01,977
1986-09-01,1028
1986-10-01,1018
1986-11-01,1068
1986-12-01,1025
1987-01-01,867
1987-02-01,1033
1987-03-01,997
1987-04-01,955
1987-05-01,944
1987-06-01,967
1987-07-01,1007
1987-08-01,988
1987-09-01,980
1987-10-01,969
1987-11-01,937
1987-12-01,940
1988-01-01,1032
1988-02-01,967
1988-03-01,1091
1988-04-01,990
1988-05-01,936
1988-06-01,948
1988-07-01,919
1988-08-01,978
1988-09-01,991
1988-10-01,997
1988-11-01,957
1988-12-01,988
1989-01-01,976
1989-02-01,991
1989-03-01,891
1989-04-01,977
1989-05-01,1098
1989-06-01,1005
1989-07-01,1006
1989-08-01,1045
1989-09-01,1057
1989-10-01,997
1989-11-01,1042
1989-12-01,1050
1990-01-01,1127
1990-02-01,1068
1990-03-01,1016
1990-04-01,1101
1990-05-01,1005
1990-06-01,974
1990-07-01,1023
1990-08-01,1058
1990-09-01,1022
1990-10-01,1006
1990-11-01,1014
1990-12-01,1073
1991-01-01,1019
1991-02-01,1036
1991-03-01,1058
1991-04-01,938
1991-05-01,1033
1991-06-01,1047
1991-07-01,997
1991-08-01,961
1991-09-01,1001
1991-10-01,1005
1991-11-01,1008
1991-12-01,951
1992-01-01,1114
1992-02-01,926
1992-03-01,897
1992-04-01,979
1992-05-01,1004
1992-06-01,1026
1992-07-01,1042
1992-08-01,1124
1992-09-01,1001
1992-10-01,911
1992-11-01,1006
1992-12-01,1009
1993-01-01,969
1993-02-01,1024
1993-03-01,1022
1993-04-01,987
1993-05-01,975
1993-06-01,958
1993-07-01,953
1993-08-01,922
1993-09-01,943
1993-10-01,981
1993-11-01,1013
1993-12-01,972
1994-01-01,842
1994-02-01,862
1994-03-01,816
1994-04-01,822
1994-05-01,797
1994-06-01,793
1994-07-01,765
1994-08-01,774
1994-09-01,851
1994-10-01,761
1994-11-01,703
1994-12-01,698
1995-01-01,709
1995-02-01,790
1995-03-01,801
1995-04-01,837
1995-05-01,880
1995-06-01,847
1995-07-01,827
1995-08-01,853
1995-09-01,856
1995-10-01,757
1995-11-01,838
1995-12-01,905
1996-01-01,821
1996-02-01,752
1996-03-01,788
1996-04-01,735
1996-05-01,689
1996-06-01,691
1996-07-01,740
1996-08-01,757
1996-09-01,778
1996-10-01,815
1996-11-01,846
1996-12-01,878
1997-01-01,860
1997-02-01,795
1997-03-01,788
1997-04-01,772
1997-05-01,807
1997-06-01,807
1997-07-01,795
1997-08-01,890
1997-09-01,857
1997-10-01,743
1997-11-01,678
1997-12-01,720
1998-01-01,811
1998-02-01,776
1998-03-01,733
1998-04-01,615
1998-05-01,744
1998-06-01,739
1998-07-01,776
1998-08-01,731
1998-09-01,755
1998-10-01,736
1998-11-01,678
1998-12-01,710
1999-01-01,724
1999-02-01,753
1999-03-01,762
1999-04-01,795
1999-05-01,782
1999-06-01,843
1999-07-01,779
1999-08-01,791
1999-09-01,783
1999-10-01,759
1999-11-01,837
1999-12-01,803
2000-01-01,771
2000-02-01,767
2000-03-01,818
2000-04-01,826
2000-05-01,784
2000-06-01,689
2000-07-01,816
2000-08-01,779
2000-09-01,789
2000-10-01,817
2000-11-01,782
2000-12-01,714
2001-01-01,825
2001-02-01,829
2001-03-01,814
2001-04-01,754
2001-05-01,819
2001-06-01,809
2001-07-01,806
2001-08-01,885
2001-09-01,837
2001-10-01,884
2001-11-01,853
2001-12-01,902
2002-01-01,891
2002-02-01,880
2002-03-01,891
2002-04-01,993
2002-05-01,895
2002-06-01,829
2002-07-01,834
2002-08-01,848
2002-09-01,796
2002-10-01,865
2002-11-01,814
2002-12-01,873
2003-01-01,841
2003-02-01,771
2003-03-01,815
2003-04-01,823
2003-05-01,776
2003-06-01,871
2003-07-01,787
2003-08-01,789
2003-09-01,837
2003-10-01,804
2003-11-01,922
2003-12-01,785
2004-01-01,817
2004-02-01,822
2004-03-01,864
2004-04-01,837
2004-05-01,841
2004-06-01,914
2004-07-01,894
2004-08-01,878
2004-09-01,814
2004-10-01,825
2004-11-01,881
2004-12-01,919
2005-01-01,815
2005-02-01,955
2005-03-01,879
2005-04-01,907
2005-05-01,931
2005-06-01,858
2005-07-01,817
2005-08-01,828
2005-09-01,863
2005-10-01,884
2005-11-01,913
2005-12-01,817
2006-01-01,821
2006-02-01,872
2006-03-01,833
2006-04-01,853
2006-05-01,862
2006-06-01,828
2006-07-01,850
2006-08-01,854
2006-09-01,790
2006-10-01,779
2006-11-01,788
2006-12-01,785
2007-01-01,782
2007-02-01,846
2007-03-01,771
2007-04-01,742
2007-05-01,750
2007-06-01,828
2007-07-01,826
2007-08-01,797
2007-09-01,833
2007-10-01,782
2007-11-01,772
2007-12-01,778
2008-01-01,823
2008-02-01,796
2008-03-01,796
2008-04-01,847
2008-05-01,868
2008-06-01,859
2008-07-01,880
2008-08-01,1019
2008-09-01,995
2008-10-01,931
2008-11-01,927
2008-12-01,990
2009-01-01,901
2009-02-01,837
2009-03-01,882
2009-04-01,869
2009-05-01,904
2009-06-01,819
2009-07-01,891
2009-08-01,842
2009-09-01,880
2009-10-01,903
2009-11-01,936
2009-12-01,923
2010-01-01,911
2010-02-01,877
2010-03-01,893
2010-04-01,930
2010-05-01,973
2010-06-01,888
2010-07-01,903
2010-08-01,870
2010-09-01,804
2010-10-01,854
2010-11-01,860
2010-12-01,920
2011-01-01,919
2011-02-01,895
2011-03-01,893
2011-04-01,948
2011-05-01,917
2011-06-01,967
2011-07-01,939
2011-08-01,975
2011-09-01,971
2011-10-01,1076
2011-11-01,1009
2011-12-01,955
2012-01-01,941
2012-02-01,1041
2012-03-01,1106
2012-04-01,1001
2012-05-01,897
2012-06-01,921
2012-07-01,866
2012-08-01,941
2012-09-01,951
2012-10-01,1037
2012-11-01,919
2012-12-01,998
2013-01-01,1000
2013-02-01,957
2013-03-01,983
2013-04-01,873
2013-05-01,933
2013-06-01,1024
2013-07-01,961
2013-08-01,877
2013-09-01,978
2013-10-01,859
2013-11-01,880
2013-12-01,860
2014-01-01,815
2014-02-01,816
2014-03-01,807
2014-04-01,786
2014-05-01,872
2014-06-01,848
2014-07-01,857
2014-08-01,851
2014-09-01,816
2014-10-01,782
2014-11-01,835
2014-12-01,798
2015-01-01,851
2015-02-01,884
2015-03-01,875
2015-04-01,828
