observation_date,NPTLTL_20090215
1988-01-01,3.45
1988-04-01,3.26
1988-07-01,3.34
1988-10-01,2.97
1989-01-01,3.05
1989-04-01,3.08
1989-07-01,3.16
1989-10-01,3.04
1990-01-01,3.15
1990-04-01,3.20
1990-07-01,3.42
1990-10-01,3.71
1991-01-01,3.99
1991-04-01,4.01
1991-07-01,3.92
1991-10-01,3.71
1992-01-01,3.70
1992-04-01,3.54
1992-07-01,3.41
1992-10-01,3.06
1993-01-01,2.91
1993-04-01,2.62
1993-07-01,2.39
1993-10-01,1.98
1994-01-01,1.86
1994-04-01,1.61
1994-07-01,1.46
1994-10-01,1.29
1995-01-01,1.33
1995-04-01,1.26
1995-07-01,1.23
1995-10-01,1.16
1996-01-01,1.17
1996-04-01,1.12
1996-07-01,1.10
1996-10-01,1.03
1997-01-01,1.04
1997-04-01,0.99
1997-07-01,0.98
1997-10-01,0.96
1998-01-01,0.97
1998-04-01,0.94
1998-07-01,0.94
1998-10-01,0.96
1999-01-01,0.99
1999-04-01,0.94
1999-07-01,0.98
1999-10-01,0.94
2000-01-01,0.96
2000-04-01,0.98
2000-07-01,1.03
2000-10-01,1.12
2001-01-01,1.20
2001-04-01,1.26
2001-07-01,1.33
2001-10-01,1.40
2002-01-01,1.46
2002-04-01,1.47
2002-07-01,1.50
2002-10-01,1.46
2003-01-01,1.41
2003-04-01,1.33
2003-07-01,1.25
2003-10-01,1.20
2004-01-01,1.09
2004-04-01,0.96
2004-07-01,0.91
2004-10-01,0.86
2005-01-01,0.80
2005-04-01,0.78
2005-07-01,0.76
2005-10-01,0.75
2006-01-01,0.71
2006-04-01,0.70
2006-07-01,0.74
2006-10-01,0.78
2007-01-01,0.82
2007-04-01,0.86
2007-07-01,1.02
2007-10-01,1.31
2008-01-01,1.61
2008-04-01,1.88
2008-07-01,2.24
