observation_date,PCEC96_20000215
1967-01-01,2015.7
1967-02-01,2008.3
1967-03-01,2018.5
1967-04-01,2037.3
1967-05-01,2037.2
1967-06-01,2048.8
1967-07-01,2041.6
1967-08-01,2047.8
1967-09-01,2064.9
1967-10-01,2045.8
1967-11-01,2059.4
1967-12-01,2086.6
1968-01-01,2098.2
1968-02-01,2100.2
1968-03-01,2135.5
1968-04-01,2128.3
1968-05-01,2143.0
1968-06-01,2161.8
1968-07-01,2181.9
1968-08-01,2188.4
1968-09-01,2185.5
1968-10-01,2189.0
1968-11-01,2201.1
1968-12-01,2195.8
1969-01-01,2214.2
1969-02-01,2228.5
1969-03-01,2219.0
1969-04-01,2228.1
1969-05-01,2242.8
1969-06-01,2234.5
1969-07-01,2231.2
1969-08-01,2251.9
1969-09-01,2254.2
1969-10-01,2265.7
1969-11-01,2263.2
1969-12-01,2261.3
1970-01-01,2274.9
1970-02-01,2284.7
1970-03-01,2273.2
1970-04-01,2275.1
1970-05-01,2290.8
1970-06-01,2298.5
1970-07-01,2297.6
1970-08-01,2306.9
1970-09-01,2317.5
1970-10-01,2302.9
1970-11-01,2286.8
1970-12-01,2306.9
1971-01-01,2338.2
1971-02-01,2342.1
1971-03-01,2342.6
1971-04-01,2356.0
1971-05-01,2354.0
1971-06-01,2372.0
1971-07-01,2360.9
1971-08-01,2373.8
1971-09-01,2397.5
1971-10-01,2402.6
1971-11-01,2414.6
1971-12-01,2429.6
1972-01-01,2431.0
1972-02-01,2436.1
1972-03-01,2474.9
1972-04-01,2480.9
1972-05-01,2492.6
1972-06-01,2500.1
1972-07-01,2517.9
1972-08-01,2531.0
1972-09-01,2534.9
1972-10-01,2576.8
1972-11-01,2586.7
1972-12-01,2595.9
1973-01-01,2619.8
1973-02-01,2635.6
1973-03-01,2637.8
1973-04-01,2626.6
1973-05-01,2632.3
1973-06-01,2626.2
1973-07-01,2648.4
1973-08-01,2616.5
1973-09-01,2656.5
1973-10-01,2639.0
1973-11-01,2645.0
1973-12-01,2624.0
1974-01-01,2625.6
1974-02-01,2611.1
1974-03-01,2616.0
1974-04-01,2625.7
1974-05-01,2634.5
1974-06-01,2628.8
1974-07-01,2638.3
1974-08-01,2657.3
1974-09-01,2630.0
1974-10-01,2620.8
1974-11-01,2592.4
1974-12-01,2586.9
1975-01-01,2607.0
1975-02-01,2630.5
1975-03-01,2626.3
1975-04-01,2629.8
1975-05-01,2683.6
1975-06-01,2687.9
1975-07-01,2698.0
1975-08-01,2704.7
1975-09-01,2711.0
1975-10-01,2709.9
1975-11-01,2730.7
1975-12-01,2755.7
1976-01-01,2784.3
1976-02-01,2781.3
1976-03-01,2795.3
1976-04-01,2813.8
1976-05-01,2792.4
1976-06-01,2823.3
1976-07-01,2830.0
1976-08-01,2834.0
1976-09-01,2844.4
1976-10-01,2849.5
1976-11-01,2865.9
1976-12-01,2903.5
1977-01-01,2895.9
1977-02-01,2911.6
1977-03-01,2913.6
1977-04-01,2917.3
1977-05-01,2925.2
1977-06-01,2924.0
1977-07-01,2947.1
1977-08-01,2947.5
1977-09-01,2957.6
1977-10-01,2981.6
1977-11-01,2999.9
1977-12-01,3006.6
1978-01-01,2975.2
1978-02-01,3019.9
1978-03-01,3050.7
1978-04-01,3069.4
1978-05-01,3083.3
1978-06-01,3095.7
1978-07-01,3082.6
1978-08-01,3112.1
1978-09-01,3107.9
1978-10-01,3113.3
1978-11-01,3124.8
1978-12-01,3144.4
1979-01-01,3136.3
1979-02-01,3154.0
1979-03-01,3158.1
1979-04-01,3140.4
1979-05-01,3147.7
1979-06-01,3155.3
1979-07-01,3152.7
1979-08-01,3188.6
1979-09-01,3198.4
1979-10-01,3189.7
1979-11-01,3200.7
1979-12-01,3193.5
1980-01-01,3221.6
1980-02-01,3195.7
1980-03-01,3170.0
1980-04-01,3130.9
1980-05-01,3115.4
1980-06-01,3130.0
1980-07-01,3156.7
1980-08-01,3160.4
1980-09-01,3159.5
1980-10-01,3196.7
1980-11-01,3187.1
1980-12-01,3209.1
1981-01-01,3210.5
1981-02-01,3203.8
1981-03-01,3214.2
1981-04-01,3203.9
1981-05-01,3205.6
1981-06-01,3228.4
1981-07-01,3221.7
1981-08-01,3242.7
1981-09-01,3221.7
1981-10-01,3203.9
1981-11-01,3196.3
1981-12-01,3215.2
1982-01-01,3209.9
1982-02-01,3239.0
1982-03-01,3235.6
1982-04-01,3237.6
1982-05-01,3247.4
1982-06-01,3229.9
1982-07-01,3248.7
1982-08-01,3250.3
1982-09-01,3279.2
1982-10-01,3292.4
1982-11-01,3317.5
1982-12-01,3329.9
1983-01-01,3329.8
1983-02-01,3327.5
1983-03-01,3362.5
1983-04-01,3384.3
1983-05-01,3404.3
1983-06-01,3435.5
1983-07-01,3455.4
1983-08-01,3460.3
1983-09-01,3467.6
1983-10-01,3497.2
1983-11-01,3507.3
1983-12-01,3548.2
1984-01-01,3578.7
1984-02-01,3530.7
1984-03-01,3559.7
1984-04-01,3583.0
1984-05-01,3603.8
1984-06-01,3628.7
1984-07-01,3612.1
1984-08-01,3626.8
1984-09-01,3653.1
1984-10-01,3642.8
1984-11-01,3694.9
1984-12-01,3697.2
1985-01-01,3726.3
1985-02-01,3740.4
1985-03-01,3735.1
1985-04-01,3746.1
1985-05-01,3789.7
1985-06-01,3770.3
1985-07-01,3795.2
1985-08-01,3831.6
1985-09-01,3887.3
1985-10-01,3829.4
1985-11-01,3841.4
1985-12-01,3883.7
1986-01-01,3886.6
1986-02-01,3877.5
1986-03-01,3890.4
1986-04-01,3914.6
1986-05-01,3938.0
1986-06-01,3929.7
1986-07-01,3955.6
1986-08-01,3974.1
1986-09-01,4061.9
1986-10-01,4004.3
1986-11-01,3991.7
1986-12-01,4080.0
1987-01-01,3981.7
1987-02-01,4054.2
1987-03-01,4056.0
1987-04-01,4076.0
1987-05-01,4078.7
1987-06-01,4096.5
1987-07-01,4115.6
1987-08-01,4147.5
1987-09-01,4127.7
1987-10-01,4126.9
1987-11-01,4129.4
1987-12-01,4161.8
1988-01-01,4197.9
1988-02-01,4201.3
1988-03-01,4237.2
1988-04-01,4220.1
1988-05-01,4245.6
1988-06-01,4257.2
1988-07-01,4266.8
1988-08-01,4285.9
1988-09-01,4273.5
1988-10-01,4310.9
1988-11-01,4319.5
1988-12-01,4342.7
1989-01-01,4346.6
1989-02-01,4337.7
1989-03-01,4333.5
1989-04-01,4358.1
1989-05-01,4352.2
1989-06-01,4358.0
1989-07-01,4369.3
1989-08-01,4411.1
1989-09-01,4400.3
1989-10-01,4397.8
1989-11-01,4397.8
1989-12-01,4430.2
1990-01-01,4453.9
1990-02-01,4431.0
1990-03-01,4445.2
1990-04-01,4454.6
1990-05-01,4450.7
1990-06-01,4465.3
1990-07-01,4474.3
1990-08-01,4476.5
1990-09-01,4475.8
1990-10-01,4448.1
1990-11-01,4445.0
1990-12-01,4429.1
1991-01-01,4393.3
1991-02-01,4416.5
1991-03-01,4465.0
1991-04-01,4453.3
1991-05-01,4465.2
1991-06-01,4466.0
1991-07-01,4485.4
1991-08-01,4477.8
1991-09-01,4478.1
1991-10-01,4460.1
1991-11-01,4482.0
1991-12-01,4484.3
1992-01-01,4548.8
1992-02-01,4550.9
1992-03-01,4559.0
1992-04-01,4559.8
1992-05-01,4581.3
1992-06-01,4590.5
1992-07-01,4604.0
1992-08-01,4587.0
1992-09-01,4641.8
1992-10-01,4659.6
1992-11-01,4667.7
1992-12-01,4694.6
1993-01-01,4680.3
1993-02-01,4686.3
1993-03-01,4654.6
1993-04-01,4705.2
1993-05-01,4707.7
1993-06-01,4734.2
1993-07-01,4756.0
1993-08-01,4764.0
1993-09-01,4782.5
1993-10-01,4796.3
1993-11-01,4809.3
1993-12-01,4827.0
1994-01-01,4810.2
1994-02-01,4878.7
1994-03-01,4884.0
1994-04-01,4889.4
1994-05-01,4895.0
1994-06-01,4913.3
1994-07-01,4911.6
1994-08-01,4945.9
1994-09-01,4952.5
1994-10-01,4977.5
1994-11-01,4988.1
1994-12-01,4993.6
1995-01-01,5011.0
1995-02-01,4988.4
1995-03-01,5014.8
1995-04-01,5012.4
1995-05-01,5054.6
1995-06-01,5093.5
1995-07-01,5070.8
1995-08-01,5112.8
1995-09-01,5098.4
1995-10-01,5091.2
1995-11-01,5131.1
1995-12-01,5161.6
1996-01-01,5141.9
1996-02-01,5182.6
1996-03-01,5186.2
1996-04-01,5222.2
1996-05-01,5230.1
1996-06-01,5230.3
1996-07-01,5237.2
1996-08-01,5262.3
1996-09-01,5266.8
1996-10-01,5282.8
1996-11-01,5291.1
1996-12-01,5316.5
1997-01-01,5350.6
1997-02-01,5358.6
1997-03-01,5374.0
1997-04-01,5366.0
1997-05-01,5379.1
1997-06-01,5410.3
1997-07-01,5460.6
1997-08-01,5475.9
1997-09-01,5478.8
