observation_date,PERMIT_20060515
1960-01-01,1092.0
1960-02-01,1088.0
1960-03-01,955.0
1960-04-01,1016.0
1960-05-01,1052.0
1960-06-01,958.0
1960-07-01,999.0
1960-08-01,994.0
1960-09-01,984.0
1960-10-01,972.0
1960-11-01,979.0
1960-12-01,951.0
1961-01-01,969.0
1961-02-01,961.0
1961-03-01,1000.0
1961-04-01,1002.0
1961-05-01,1027.0
1961-06-01,1070.0
1961-07-01,1083.0
1961-08-01,1159.0
1961-09-01,1098.0
1961-10-01,1123.0
1961-11-01,1152.0
1961-12-01,1161.0
1962-01-01,1122.0
1962-02-01,1194.0
1962-03-01,1134.0
1962-04-01,1235.0
1962-05-01,1142.0
1962-06-01,1154.0
1962-07-01,1189.0
1962-08-01,1200.0
1962-09-01,1223.0
1962-10-01,1181.0
1962-11-01,1236.0
1962-12-01,1236.0
1963-01-01,1248.0
1963-02-01,1212.0
1963-03-01,1258.0
1963-04-01,1288.0
1963-05-01,1350.0
1963-06-01,1345.0
1963-07-01,1321.0
1963-08-01,1310.0
1963-09-01,1413.0
1963-10-01,1414.0
1963-11-01,1357.0
1963-12-01,1423.0
1964-01-01,1296.0
1964-02-01,1442.0
1964-03-01,1313.0
1964-04-01,1264.0
1964-05-01,1299.0
1964-06-01,1280.0
1964-07-01,1304.0
1964-08-01,1306.0
1964-09-01,1265.0
1964-10-01,1230.0
1964-11-01,1254.0
1964-12-01,1164.0
1965-01-01,1264.0
1965-02-01,1185.0
1965-03-01,1211.0
1965-04-01,1162.0
1965-05-01,1207.0
1965-06-01,1241.0
1965-07-01,1237.0
1965-08-01,1249.0
1965-09-01,1227.0
1965-10-01,1279.0
1965-11-01,1306.0
1965-12-01,1315.0
1966-01-01,1325.0
1966-02-01,1159.0
1966-03-01,1234.0
1966-04-01,1145.0
1966-05-01,1078.0
1966-06-01,956.0
1966-07-01,932.0
1966-08-01,877.0
1966-09-01,774.0
1966-10-01,739.0
1966-11-01,736.0
1966-12-01,743.0
1967-01-01,995.0
1967-02-01,907.0
1967-03-01,955.0
1967-04-01,1035.0
1967-05-01,1076.0
1967-06-01,1169.0
1967-07-01,1177.0
1967-08-01,1229.0
1967-09-01,1279.0
1967-10-01,1280.0
1967-11-01,1297.0
1967-12-01,1315.0
1968-01-01,1179.0
1968-02-01,1342.0
1968-03-01,1370.0
1968-04-01,1286.0
1968-05-01,1297.0
1968-06-01,1300.0
1968-07-01,1344.0
1968-08-01,1357.0
1968-09-01,1464.0
1968-10-01,1421.0
1968-11-01,1436.0
1968-12-01,1389.0
1969-01-01,1459.0
1969-02-01,1495.0
1969-03-01,1438.0
1969-04-01,1441.0
1969-05-01,1328.0
1969-06-01,1349.0
1969-07-01,1278.0
1969-08-01,1317.0
1969-09-01,1263.0
1969-10-01,1216.0
1969-11-01,1191.0
1969-12-01,1155.0
1970-01-01,1062.0
1970-02-01,1118.0
1970-03-01,1132.0
1970-04-01,1224.0
1970-05-01,1328.0
1970-06-01,1322.0
1970-07-01,1324.0
1970-08-01,1394.0
1970-09-01,1426.0
1970-10-01,1564.0
1970-11-01,1502.0
1970-12-01,1767.0
1971-01-01,1643.0
1971-02-01,1588.0
1971-03-01,1759.0
1971-04-01,1745.0
1971-05-01,1972.0
1971-06-01,1903.0
1971-07-01,2069.0
1971-08-01,2004.0
1971-09-01,1996.0
1971-10-01,2026.0
1971-11-01,2079.0
1971-12-01,2133.0
1972-01-01,2238.0
1972-02-01,2169.0
1972-03-01,2105.0
1972-04-01,2139.0
1972-05-01,2067.0
1972-06-01,2183.0
1972-07-01,2195.0
1972-08-01,2263.0
1972-09-01,2393.0
1972-10-01,2354.0
1972-11-01,2234.0
1972-12-01,2419.0
1973-01-01,2271.0
1973-02-01,2226.0
1973-03-01,2062.0
1973-04-01,1908.0
1973-05-01,1931.0
1973-06-01,2051.0
1973-07-01,1819.0
1973-08-01,1809.0
1973-09-01,1704.0
1973-10-01,1411.0
1973-11-01,1402.0
1973-12-01,1288.0
1974-01-01,1331.0
1974-02-01,1360.0
1974-03-01,1440.0
1974-04-01,1254.0
1974-05-01,1138.0
1974-06-01,1086.0
1974-07-01,1002.0
1974-08-01,917.0
1974-09-01,840.0
1974-10-01,824.0
1974-11-01,783.0
1974-12-01,869.0
1975-01-01,726.0
1975-02-01,729.0
1975-03-01,709.0
1975-04-01,866.0
1975-05-01,914.0
1975-06-01,946.0
1975-07-01,1020.0
1975-08-01,994.0
1975-09-01,1064.0
1975-10-01,1096.0
1975-11-01,1110.0
1975-12-01,1091.0
1976-01-01,1195.0
1976-02-01,1190.0
1976-03-01,1164.0
1976-04-01,1132.0
1976-05-01,1194.0
1976-06-01,1188.0
1976-07-01,1245.0
1976-08-01,1309.0
1976-09-01,1481.0
1976-10-01,1425.0
1976-11-01,1531.0
1976-12-01,1511.0
1977-01-01,1466.0
1977-02-01,1560.0
1977-03-01,1660.0
1977-04-01,1660.0
1977-05-01,1668.0
1977-06-01,1752.0
1977-07-01,1687.0
1977-08-01,1780.0
1977-09-01,1674.0
1977-10-01,1758.0
1977-11-01,1771.0
1977-12-01,1754.0
1978-01-01,1740.0
1978-02-01,1736.0
1978-03-01,1799.0
1978-04-01,1948.0
1978-05-01,1766.0
1978-06-01,1983.0
1978-07-01,1786.0
1978-08-01,1691.0
1978-09-01,1751.0
1978-10-01,1781.0
1978-11-01,1795.0
1978-12-01,1818.0
1979-01-01,1461.0
1979-02-01,1492.0
1979-03-01,1720.0
1979-04-01,1597.0
