observation_date,REVOLSL_20020215
1968-01-01,1.3
1968-02-01,1.4
1968-03-01,1.4
1968-04-01,1.5
1968-05-01,1.5
1968-06-01,1.6
1968-07-01,1.7
1968-08-01,1.8
1968-09-01,1.8
1968-10-01,2.0
1968-11-01,2.0
1968-12-01,2.0
1969-01-01,2.1
1969-02-01,2.2
1969-03-01,2.3
1969-04-01,2.4
1969-05-01,2.6
1969-06-01,2.7
1969-07-01,2.9
1969-08-01,3.0
1969-09-01,3.2
1969-10-01,3.3
1969-11-01,3.5
1969-12-01,3.6
1970-01-01,3.7
1970-02-01,3.8
1970-03-01,3.9
1970-04-01,4.0
1970-05-01,4.1
1970-06-01,4.3
1970-07-01,4.4
1970-08-01,4.5
1970-09-01,4.7
1970-10-01,4.8
1970-11-01,4.9
1970-12-01,5.0
1971-01-01,7.2
1971-02-01,7.2
1971-03-01,7.3
1971-04-01,7.5
1971-05-01,7.6
1971-06-01,7.7
1971-07-01,7.9
1971-08-01,8.0
1971-09-01,8.2
1971-10-01,8.3
1971-11-01,8.3
1971-12-01,8.2
1972-01-01,8.1
1972-02-01,8.1
1972-03-01,8.2
1972-04-01,8.4
1972-05-01,8.6
1972-06-01,8.8
1972-07-01,9.0
1972-08-01,9.1
1972-09-01,9.3
1972-10-01,9.4
1972-11-01,9.4
1972-12-01,9.4
1973-01-01,9.4
1973-02-01,9.5
1973-03-01,9.7
1973-04-01,9.8
1973-05-01,10.0
1973-06-01,10.3
1973-07-01,10.5
1973-08-01,10.8
1973-09-01,10.9
1973-10-01,11.2
1973-11-01,11.4
1973-12-01,11.3
1974-01-01,11.3
1974-02-01,11.3
1974-03-01,11.4
1974-04-01,11.6
1974-05-01,12.0
1974-06-01,12.3
1974-07-01,12.7
1974-08-01,13.0
1974-09-01,13.3
1974-10-01,13.5
1974-11-01,13.6
1974-12-01,13.2
1975-01-01,13.3
1975-02-01,13.2
1975-03-01,13.2
1975-04-01,13.3
1975-05-01,13.5
1975-06-01,13.6
1975-07-01,13.9
1975-08-01,14.2
1975-09-01,14.5
1975-10-01,14.8
1975-11-01,14.7
1975-12-01,14.5
1976-01-01,14.4
1976-02-01,14.4
1976-03-01,14.3
1976-04-01,14.6
1976-05-01,14.8
1976-06-01,15.1
1976-07-01,15.6
1976-08-01,15.9
1976-09-01,16.4
1976-10-01,16.7
1976-11-01,16.7
1976-12-01,16.5
1977-01-01,30.7
1977-02-01,30.5
1977-03-01,31.0
1977-04-01,31.8
1977-05-01,32.7
1977-06-01,33.4
1977-07-01,34.0
1977-08-01,34.6
1977-09-01,35.4
1977-10-01,36.5
1977-11-01,37.0
1977-12-01,37.4
1978-01-01,36.9
1978-02-01,36.9
1978-03-01,37.5
1978-04-01,38.3
1978-05-01,39.4
1978-06-01,40.5
1978-07-01,41.5
1978-08-01,42.5
1978-09-01,43.5
1978-10-01,44.4
1978-11-01,45.0
1978-12-01,45.7
1979-01-01,45.6
1979-02-01,45.8
1979-03-01,46.4
1979-04-01,47.4
1979-05-01,48.5
1979-06-01,49.4
1979-07-01,50.1
1979-08-01,51.3
1979-09-01,52.1
1979-10-01,53.2
1979-11-01,53.9
1979-12-01,53.6
1980-01-01,53.7
1980-02-01,54.1
1980-03-01,54.1
1980-04-01,54.0
1980-05-01,54.0
1980-06-01,53.8
1980-07-01,54.1
1980-08-01,54.4
1980-09-01,54.4
1980-10-01,54.4
1980-11-01,54.4
1980-12-01,55.0
1981-01-01,55.5
1981-02-01,55.8
1981-03-01,56.3
1981-04-01,57.1
1981-05-01,57.8
1981-06-01,58.7
1981-07-01,59.0
1981-08-01,59.3
1981-09-01,60.2
1981-10-01,60.6
1981-11-01,60.8
1981-12-01,60.9
1982-01-01,61.2
