observation_date,STLFSI4_20230215
1993-12-31,-0.3266
1994-01-07,-0.4104
1994-01-14,-0.1201
1994-01-21,-0.3872
1994-01-28,-0.2524
1994-02-04,-0.5596
1994-02-11,-0.3710
1994-02-18,-0.3450
1994-02-25,-0.3368
1994-03-04,-0.2604
1994-03-11,-0.2715
1994-03-18,-0.1860
1994-03-25,-0.2763
1994-04-01,-0.1737
1994-04-08,-0.1594
1994-04-15,-0.0491
1994-04-22,-0.2308
1994-04-29,-0.1034
1994-05-06,-0.4317
1994-05-13,-0.2030
1994-05-20,-0.0303
1994-05-27,-0.2231
1994-06-03,-0.0678
1994-06-10,0.0343
1994-06-17,-0.2326
1994-06-24,-0.1384
1994-07-01,-0.1994
1994-07-08,-0.0309
1994-07-15,-0.1198
1994-07-22,-0.0809
1994-07-29,-0.2441
1994-08-05,-0.1318
1994-08-12,-0.3524
1994-08-19,-0.3529
1994-08-26,-0.3434
1994-09-02,-0.2181
1994-09-09,-0.3336
1994-09-16,-0.3286
1994-09-23,-0.3708
1994-09-30,-0.2488
1994-10-07,-0.2723
1994-10-14,-0.0231
1994-10-21,-0.2043
1994-10-28,-0.2662
1994-11-04,-0.2152
1994-11-11,-0.2853
1994-11-18,-0.4372
1994-11-25,-0.2292
1994-12-02,-0.2277
1994-12-09,-0.2094
1994-12-16,-0.2455
1994-12-23,-0.1963
1994-12-30,-0.0670
1995-01-06,-0.3020
1995-01-13,-0.0568
1995-01-20,-0.3533
1995-01-27,-0.3668
1995-02-03,-0.3492
1995-02-10,-0.4496
1995-02-17,-0.2305
1995-02-24,-0.2454
1995-03-03,-0.2006
1995-03-10,-0.1647
1995-03-17,-0.2014
1995-03-24,-0.3781
1995-03-31,-0.4638
1995-04-07,-0.3234
1995-04-14,-0.2894
1995-04-21,-0.2383
1995-04-28,-0.4444
1995-05-05,-0.2882
1995-05-12,-0.1342
1995-05-19,-0.3592
1995-05-26,-0.3199
1995-06-02,-0.0560
1995-06-09,-0.2094
1995-06-16,-0.1778
1995-06-23,-0.1501
1995-06-30,-0.2829
1995-07-07,-0.2498
1995-07-14,-0.1321
1995-07-21,-0.4908
1995-07-28,-0.3041
1995-08-04,-0.2495
1995-08-11,-0.2781
1995-08-18,-0.3997
1995-08-25,-0.2271
1995-09-01,-0.1316
1995-09-08,-0.2392
1995-09-15,-0.3381
1995-09-22,-0.3042
1995-09-29,-0.4346
1995-10-06,-0.0605
1995-10-13,-0.2343
1995-10-20,-0.2022
1995-10-27,-0.1676
1995-11-03,-0.2048
1995-11-10,-0.3375
1995-11-17,-0.3389
1995-11-24,-0.4734
1995-12-01,-0.3080
1995-12-08,-0.3774
1995-12-15,-0.4319
1995-12-22,-0.3194
1995-12-29,-0.0561
1996-01-05,-0.4629
1996-01-12,-0.2294
1996-01-19,-0.2087
1996-01-26,-0.4110
1996-02-02,-0.3697
1996-02-09,-0.2845
1996-02-16,-0.2681
1996-02-23,-0.5174
1996-03-01,-0.4501
1996-03-08,-0.0674
1996-03-15,-0.3178
1996-03-22,-0.1608
1996-03-29,-0.1204
1996-04-05,-0.1593
1996-04-12,-0.1503
1996-04-19,0.0097
1996-04-26,-0.2161
1996-05-03,-0.2442
1996-05-10,-0.1481
1996-05-17,-0.1781
1996-05-24,-0.2595
1996-05-31,-0.3303
1996-06-07,-0.2616
1996-06-14,-0.2350
1996-06-21,-0.2173
1996-06-28,-0.0460
1996-07-05,-0.4226
1996-07-12,-0.0152
1996-07-19,0.0030
1996-07-26,-0.1115
1996-08-02,-0.1991
1996-08-09,0.1290
1996-08-16,-0.2823
1996-08-23,-0.3165
1996-08-30,-0.3900
