observation_date,TOTCI_19970215
1981-07-01,320.6
1981-07-08,320.5
1981-07-15,320.5
1981-07-22,321.9
1981-07-29,322.1
1981-08-05,326.1
1981-08-12,325.9
1981-08-19,326.1
1981-08-26,326.4
1981-09-02,327.1
1981-09-09,326.5
1981-09-16,327.2
1981-09-23,327.6
1981-09-30,331.4
1981-10-07,331.1
1981-10-14,331.6
1981-10-21,332.1
1981-10-28,331.6
1981-11-04,333.1
1981-11-11,333.9
1981-11-18,335.5
1981-11-25,336.7
1981-12-02,339.7
1981-12-09,339.7
1981-12-16,342.3
1981-12-23,340.4
1981-12-30,343.1
1982-01-06,344.6
1982-01-13,345.9
1982-01-20,346.5
1982-01-27,349.3
1982-02-03,351.3
1982-02-10,351.9
1982-02-17,352.6
1982-02-24,352.9
1982-03-03,352.1
1982-03-10,354.6
1982-03-17,355.0
1982-03-24,355.8
1982-03-31,357.7
1982-04-07,360.8
1982-04-14,360.6
1982-04-21,361.7
1982-04-28,361.3
1982-05-05,363.8
1982-05-12,364.2
1982-05-19,365.6
1982-05-26,367.1
1982-06-02,368.2
1982-06-09,369.7
1982-06-16,369.7
1982-06-23,369.1
1982-06-30,372.1
1982-07-07,372.9
1982-07-14,373.9
1982-07-21,372.8
1982-07-28,373.9
1982-08-04,374.2
1982-08-11,374.8
1982-08-18,374.3
1982-08-25,375.6
1982-09-01,378.2
1982-09-08,377.9
1982-09-15,380.8
1982-09-22,381.8
1982-09-29,382.0
1982-10-06,384.1
1982-10-13,382.8
1982-10-20,383.3
1982-10-27,382.2
1982-11-03,381.3
1982-11-10,382.2
1982-11-17,381.9
1982-11-24,382.1
1982-12-01,382.9
1982-12-08,382.7
1982-12-15,382.3
1982-12-22,382.8
1982-12-29,381.0
1983-01-05,383.2
1983-01-12,383.9
1983-01-19,385.4
1983-01-26,385.4
1983-02-02,386.5
1983-02-09,384.5
1983-02-16,384.3
1983-02-23,384.1
1983-03-02,385.6
1983-03-09,385.8
1983-03-16,385.3
1983-03-23,384.1
1983-03-30,385.0
1983-04-06,383.5
1983-04-13,382.5
1983-04-20,382.8
1983-04-27,382.8
1983-05-04,381.8
1983-05-11,381.6
1983-05-18,380.9
1983-05-25,381.2
1983-06-01,383.0
1983-06-08,383.3
1983-06-15,384.9
1983-06-22,384.5
1983-06-29,383.4
1983-07-06,385.5
1983-07-13,386.6
1983-07-20,389.0
1983-07-27,388.8
1983-08-03,391.0
1983-08-10,391.0
1983-08-17,391.2
1983-08-24,392.2
1983-08-31,393.2
1983-09-07,392.8
1983-09-14,391.9
1983-09-21,393.5
1983-09-28,392.9
1983-10-05,394.0
1983-10-12,396.5
1983-10-19,395.6
1983-10-26,397.2
1983-11-02,398.2
1983-11-09,400.4
1983-11-16,399.6
1983-11-23,399.2
1983-11-30,401.3
1983-12-07,402.6
1983-12-14,403.3
1983-12-21,404.0
1983-12-28,405.5
1984-01-04,407.3
1984-01-11,407.2
1984-01-18,406.5
1984-01-25,407.1
1984-02-01,408.8
