observation_date,UEMP15OV_19640215
1948-01-01,310
1948-02-01,283
1948-03-01,292
1948-04-01,324
1948-05-01,328
1948-06-01,322
1948-07-01,295
1948-08-01,331
1948-09-01,298
1948-10-01,323
1948-11-01,285
1948-12-01,306
1949-01-01,314
1949-02-01,375
1949-03-01,415
1949-04-01,483
1949-05-01,602
1949-06-01,704
1949-07-01,847
1949-08-01,914
1949-09-01,971
1949-10-01,999
1949-11-01,1064
1949-12-01,963
1950-01-01,946
1950-02-01,948
1950-03-01,913
1950-04-01,920
1950-05-01,890
1950-06-01,867
1950-07-01,769
1950-08-01,632
1950-09-01,648
1950-10-01,543
1950-11-01,511
1950-12-01,482
1951-01-01,437
1951-02-01,386
1951-03-01,356
1951-04-01,294
1951-05-01,269
1951-06-01,257
1951-07-01,259
1951-08-01,249
1951-09-01,223
1951-10-01,268
1951-11-01,318
1951-12-01,269
1952-01-01,281
1952-02-01,248
1952-03-01,234
1952-04-01,243
1952-05-01,219
1952-06-01,209
1952-07-01,194
1952-08-01,210
1952-09-01,250
1952-10-01,229
1952-11-01,218
1952-12-01,237
1953-01-01,268
1953-02-01,208
1953-03-01,213
1953-04-01,181
1953-05-01,175
1953-06-01,213
1953-07-01,168
1953-08-01,176
1953-09-01,179
1953-10-01,190
1953-11-01,260
1953-12-01,309
1954-01-01,372
1954-02-01,533
1954-03-01,766
1954-04-01,776
1954-05-01,878
1954-06-01,879
1954-07-01,931
1954-08-01,999
1954-09-01,1020
1954-10-01,1006
1954-11-01,977
1954-12-01,826
1955-01-01,881
1955-02-01,828
1955-03-01,817
1955-04-01,812
1955-05-01,734
1955-06-01,667
1955-07-01,640
1955-08-01,533
1955-09-01,559
1955-10-01,571
1955-11-01,563
1955-12-01,580
1956-01-01,562
1956-02-01,546
1956-03-01,523
1956-04-01,477
1956-05-01,505
1956-06-01,516
1956-07-01,523
1956-08-01,541
1956-09-01,576
1956-10-01,529
1956-11-01,575
1956-12-01,566
1957-01-01,509
1957-02-01,531
1957-03-01,514
1957-04-01,517
1957-05-01,537
1957-06-01,525
1957-07-01,533
1957-08-01,540
1957-09-01,558
1957-10-01,650
1957-11-01,676
1957-12-01,730
1958-01-01,881
1958-02-01,1007
1958-03-01,1129
1958-04-01,1388
1958-05-01,1490
1958-06-01,1675
1958-07-01,1790
1958-08-01,1881
1958-09-01,1793
1958-10-01,1712
1958-11-01,1574
1958-12-01,1490
1959-01-01,1399
1959-02-01,1279
1959-03-01,1210
1959-04-01,1038
1959-05-01,963
1959-06-01,961
1959-07-01,881
1959-08-01,888
1959-09-01,896
1959-10-01,886
1959-11-01,987
1959-12-01,922
1960-01-01,919
1960-02-01,842
1960-03-01,958
1960-04-01,895
1960-05-01,794
1960-06-01,853
1960-07-01,910
1960-08-01,926
1960-09-01,983
1960-10-01,1201
1960-11-01,1232
1960-12-01,1146
1961-01-01,1346
1961-02-01,1415
1961-03-01,1467
1961-04-01,1587
1961-05-01,1664
1961-06-01,1654
1961-07-01,1800
1961-08-01,1635
1961-09-01,1531
1961-10-01,1507
1961-11-01,1409
1961-12-01,1370
1962-01-01,1256
1962-02-01,1242
1962-03-01,1167
1962-04-01,1115
1962-05-01,1106
1962-06-01,1091
1962-07-01,1026
1962-08-01,1065
1962-09-01,1102
1962-10-01,1048
1962-11-01,1063
1962-12-01,1078
1963-01-01,1152
1963-02-01,1128
1963-03-01,1097
1963-04-01,1067
1963-05-01,1113
1963-06-01,1080
1963-07-01,1042
1963-08-01,1083
1963-09-01,1078
1963-10-01,1114
1963-11-01,1060
1963-12-01,1022
1964-01-01,1105
