observation_date,UMCSENT1
1952-11-01,86.2
1953-02-01,90.7
1953-08-01,80.8
1953-11-01,80.7
1954-02-01,82.0
1954-05-01,82.9
1954-11-01,87.0
1955-02-01,95.9
1955-05-01,99.1
1955-11-01,99.7
1956-05-01,98.2
1956-08-01,99.9
1956-11-01,100.2
1957-05-01,92.9
1957-11-01,83.7
1958-02-01,78.5
1958-05-01,80.9
1958-11-01,90.8
1959-05-01,95.3
1959-11-01,93.8
1960-02-01,100.0
1960-05-01,93.3
1960-08-01,97.2
1960-11-01,90.1
1961-02-01,91.6
1961-05-01,92.5
1961-08-01,99.2
1961-11-01,93.0
1962-02-01,99.9
1962-05-01,95.4
1962-08-01,91.6
1962-11-01,95.0
1963-02-01,98.4
1963-05-01,91.7
1963-08-01,96.4
1963-11-01,94.4
1964-02-01,99.5
1964-05-01,98.5
1964-08-01,100.6
1964-11-01,99.9
1965-02-01,102.0
1965-05-01,105.4
1965-08-01,103.4
1965-11-01,102.9
1966-02-01,100.0
1966-05-01,95.7
1966-08-01,91.2
1966-11-01,88.3
1967-02-01,94.1
1967-05-01,95.9
1967-08-01,97.0
1967-11-01,92.9
1968-02-01,97.2
1968-05-01,92.4
1968-08-01,92.4
1968-11-01,91.7
1969-02-01,98.2
1969-05-01,91.5
1969-08-01,86.4
1969-11-01,79.7
1970-02-01,78.1
1970-05-01,75.4
1970-08-01,77.6
1970-11-01,72.4
1971-02-01,78.1
1971-05-01,80.2
1971-08-01,82.1
1971-11-01,82.0
1972-02-01,92.8
1972-05-01,88.6
1972-08-01,95.2
1972-11-01,90.7
1973-02-01,81.9
1973-05-01,77.0
1973-08-01,72.0
1973-11-01,76.5
1974-02-01,61.8
1974-05-01,72.1
1974-08-01,64.4
1974-11-01,59.5
1975-02-01,57.6
1975-05-01,72.8
1975-08-01,75.7
1975-11-01,75.6
1976-02-01,84.6
1976-05-01,83.3
1976-08-01,89.7
1976-11-01,87.0
1977-02-01,87.1
1977-05-01,90.2
1977-08-01,89.0
1977-11-01,84.4
