wall=14.29s run=01M156JN21TS34NQAF2Y7T85SG state=PARTIAL

=== CUMULATIVE (all) ===
         10128599 function calls (10082599 primitive calls) in 14.290 seconds

   Ordered by: cumulative time
   List reduced from 2395 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.293   14.293 /Users/prathamsharma/intent-engine-econ/src/intent_engine/webapp/app.py:8935(_run_analysis)
        1    0.000    0.000    8.232    8.232 /Users/prathamsharma/intent-engine-econ/src/intent_engine/webapp/app.py:9293(_compose)
        1    0.000    0.000    4.625    4.625 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1351(compose_with_quality)
        1    0.000    0.000    4.624    4.624 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1194(compose)
      100    4.302    0.043    4.302    0.043 {method 'acquire' of '_thread.lock' objects}
       26    0.000    0.000    4.302    0.165 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/threading.py:280(wait)
       12    0.000    0.000    4.302    0.359 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/concurrent/futures/_base.py:417(result)
        1    0.000    0.000    4.099    4.099 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:504(discover)
       30    0.000    0.000    3.544    0.118 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:972(_detect_signals)
     1700    2.849    0.002    3.214    0.002 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:165(owned_match)
        1    0.000    0.000    3.162    3.162 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1606(_strategic_report)
       14    0.000    0.000    2.969    0.212 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:498(open)
