wall=29.78s run=01M155WCETHYDA21E873NQ6ZN4 state=PARTIAL

=== CUMULATIVE (all) ===
         19815280 function calls (19765711 primitive calls) in 29.776 seconds

   Ordered by: cumulative time
   List reduced from 2446 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   29.779   29.779 /Users/prathamsharma/intent-engine-econ/src/intent_engine/webapp/app.py:8935(_run_analysis)
        1    0.000    0.000   14.472   14.472 /Users/prathamsharma/intent-engine-econ/src/intent_engine/webapp/app.py:9293(_compose)
       45    0.000    0.000   11.833    0.263 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:498(open)
       98    0.000    0.000   11.832    0.121 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:487(_call_chain)
       45    0.000    0.000   11.831    0.263 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:527(_open)
       45    0.000    0.000   11.831    0.263 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:1388(https_open)
       45    0.001    0.000   11.831    0.263 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:1305(do_open)
     2511    0.004    0.000   11.387    0.005 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
     2511    0.003    0.000   11.381    0.005 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
     2511    0.002    0.000   11.377    0.005 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:1090(read)
     2511   11.375    0.005   11.375    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000   10.977   10.977 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1205(compose_with_quality)
        1    0.000    0.000   10.976   10.976 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1048(compose)
       30    0.000    0.000    9.853    0.328 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:908(_detect_signals)
